X1,X2,X3,X4,X5,Y,W1,W2,W3,W4,W5,Y0,Length,SST
1.31,1.07,0.44,0.75,0.35,1.95,-0.0973,-0.1330,-0.1371,-0.1028,-0.1665,-0.1528,1,215.92475
1.55,1.49,0.53,0.90,0.47,2.90,0.0495,0.1502,0.0104,0.0409,0.0086,-0.0881,1,215.92475
0.99,0.84,0.34,0.57,0.32,0.72,-0.2930,-0.2881,-0.3010,-0.2753,-0.2103,-0.2365,1,215.92475
0.99,0.83,0.34,0.54,0.27,0.81,-0.2930,-0.2948,-0.3010,-0.3040,-0.2833,-0.2304,1,215.92475
1.05,0.90,0.36,0.64,0.30,1.09,-0.2563,-0.2476,-0.2682,-0.2082,-0.2395,-0.2113,1,215.92475
1.09,0.93,0.42,0.61,0.31,1.22,-0.2318,-0.2274,-0.1698,-0.2369,-0.2249,-0.2025,1,215.92475
1.08,0.90,0.40,0.51,0.31,1.02,-0.2379,-0.2476,-0.2026,-0.3327,-0.2249,-0.2161,1,215.92475
1.27,1.08,0.44,0.77,0.34,1.93,-0.1218,-0.1263,-0.1371,-0.0836,-0.1811,-0.1541,1,215.92475
0.99,0.85,0.36,0.56,0.29,0.64,-0.2930,-0.2813,-0.2682,-0.2848,-0.2541,-0.2419,1,215.92475
1.34,1.13,0.45,0.77,0.37,2.08,-0.0789,-0.0926,-0.1207,-0.0836,-0.1373,-0.1439,1,215.92475
1.30,1.10,0.45,0.76,0.38,1.98,-0.1034,-0.1128,-0.1207,-0.0932,-0.1227,-0.1507,1,215.92475
1.33,1.10,0.48,0.77,0.38,1.90,-0.0851,-0.1128,-0.0715,-0.0836,-0.1227,-0.1562,1,215.92475
1.86,1.47,0.60,1.01,0.65,8.56,0.2391,0.1367,0.1252,0.1463,0.2714,0.2971,1,215.92475
1.58,1.34,0.52,0.95,0.50,4.49,0.0678,0.0490,-0.0060,0.0888,0.0524,0.0201,1,215.92475
1.97,1.59,0.67,1.20,0.59,8.49,0.3063,0.2176,0.2399,0.3284,0.1838,0.2923,1,215.92475
1.80,1.56,0.66,1.02,0.59,6.17,0.2024,0.1974,0.2235,0.1559,0.1838,0.1344,1,215.92475
1.75,1.58,0.63,1.09,0.59,7.54,0.1718,0.2109,0.1743,0.2230,0.1838,0.2276,1,215.92475
1.72,1.43,0.64,1.02,0.63,6.36,0.1534,0.1097,0.1907,0.1559,0.2422,0.1473,1,215.92475
1.68,1.57,0.72,0.96,0.68,7.63,0.1290,0.2041,0.3218,0.0984,0.3152,0.2338,1,215.92475
1.75,1.59,0.68,1.08,0.62,7.78,0.1718,0.2176,0.2563,0.2134,0.2276,0.2440,1,215.92475
2.19,1.86,0.75,1.24,0.72,10.15,0.4409,0.3996,0.3710,0.3667,0.3735,0.4053,1,215.92475
1.73,1.67,0.64,1.14,0.55,6.88,0.1596,0.2715,0.1907,0.2709,0.1254,0.1827,1,215.92475
