Region,Clarity,Oakiness,Quality
A,1,4.1,9.8
A,1,3.9,12.6
A,1,4.7,11.9
A,1,3.6,11.1
A,1,5.1,13.3
A,1,4.1,12.8
A,1,3.3,12.8
A,1,5.2,12
A,1,3.9,13.9
A,1,3.1,11.3
A,1,5.1,11.7
A,0.8,4.7,9.1
A,1,4.5,12.1
A,0.8,4.8,13.5
A,0.8,3.3,12.2
A,0.8,5.8,10.3
A,0.8,3.5,13.2
B,0.5,3.6,12.3
B,0.9,3.4,7.9
B,0.7,3.7,10.8
B,0.7,4,9.5
B,1,4.9,11.6
B,1,5.1,11.9
B,1,4.4,10.8
B,1,3.9,8.5
B,1,6,10.7
C,1,2.9,13.6
C,1,3.6,14.4
C,0.8,4.1,16.1
C,0.7,3.7,16.1
C,1,4.1,15.5
C,0.9,4.4,15.5
C,1,4.6,13.8
C,1,4.1,13.8
C,0.9,4.8,15.1
C,1,3.8,13.5
C,1,4.7,12.7
C,1,5.2,14.9
