x1,x2,x3,yi1,yi2,yi3,ybar_i,si
-1,-1,-1,34,10,28,24,12.5
0,-1,-1,115,116,130,120.3333333,8.4
1,-1,-1,192,186,263,213.6666667,42.8
-1,0,-1,82,88,88,86,3.7
0,0,-1,44,178,188,136.6666667,80.4
1,0,-1,322,350,350,340.6666667,16.2
-1,1,-1,141,110,86,112.3333333,27.6
0,1,-1,259,251,259,256.3333333,4.6
1,1,-1,290,280,245,271.6666667,23.6
-1,-1,0,81,81,81,81,0
0,-1,0,90,122,93,101.6666667,17.7
1,-1,0,319,376,376,357,32.9
-1,0,0,180,180,154,171.3333333,15
0,0,0,372,372,372,372,0
1,0,0,541,568,396,501.6666667,92.5
-1,1,0,288,192,312,264,63.5
0,1,0,432,336,513,427,88.6
1,1,0,713,725,754,730.6666667,21.1
-1,-1,1,364,99,199,220.6666667,133.8
0,-1,1,232,221,266,239.6666667,23.5
1,-1,1,408,415,443,422,18.5
-1,0,1,182,233,182,199,29.4
0,0,1,507,515,434,485.3333333,44.6
1,0,1,846,535,640,673.6666667,158.2
-1,1,1,236,126,168,176.6666667,55.5
0,1,1,660,440,403,501,138.9
1,1,1,878,991,1161,1010,142.5
